Cohorts,Januar,Februar,MÃ¤rz,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember
January,3,3,0,0,1,0,1,2,1,2,1,1
February,0,12,8,7,8,5,4,4,7,5,4,2
March,0,0,18,13,11,5,9,7,7,7,4,4
April,0,0,0,37,18,5,11,8,12,9,8,9
May,0,0,0,0,35,9,15,12,15,14,15,12
June,0,0,0,0,0,12,6,4,6,1,4,1
July,0,0,0,0,0,0,13,7,7,5,5,4
August,0,0,0,0,0,0,0,12,11,8,7,1
September,0,0,0,0,0,0,0,0,81,40,34,9
October,0,0,0,0,0,0,0,0,0,27,12,9
November,0,0,0,0,0,0,0,0,0,0,30,23
December,0,0,0,0,0,0,0,0,0,0,0,11